Agent_id,agent_city,agent_firm_name,agent_state
1001,NA,NA,NA
1002,New York,"Ishar Law Firm, Pc",NEW YORK
1003,Boston,Pappas And Lenzo Llp,MASSACHUSETTS
1004,Fremont,Law Office Of Tricia Wang,CALIFORNIA
1005,Boston,"Fragomen, Del Rey, Bernsen & Loewy, Llp",MASSACHUSETTS
1006,Wilton,"Roberts Immigration Law Group, Llc",CONNECTICUT
1007,New York,Ishar Law Firm Pc,NEW YORK
1008,New York,Chirayilparambu Law Group P.C.,NEW YORK
1009,New York,"Epstein Becker & Green, P.C.",NEW YORK
1010,Chicago,"Fragomen, Del Rey, Bernsen & Loewy, Llp",ILLINOIS
1011,Los Angeles,"Haight Law Group, Plc",CALIFORNIA
1012,New York,Mccormick & O'Brien,NEW YORK
1013,Los Angeles,Stone Grzegorek & Gonzalez Llp,CALIFORNIA
1014,Northampton,Curran & Berger Llp,MASSACHUSETTS
1015,Farmington Hills,"Law Offices Of Amarnath Gowda, P.C.",MICHIGAN
1016,Silver Spring,Law Office Of J. Bradley Ortins,MARYLAND
1017,Atlanta,Fisher & Phillips Llp,GEORGIA
1018,Buffalo,"Hodgson Russ, Llp",NEW YORK
1019,Houston,Berry Appleman & Leiden Llp,TEXAS
1020,Addison,"Fragomen, Del Rey, Bernsen & Loewy Llp",TEXAS
1021,Rochester,Law Offices Of Claudia Y. Tsou,MICHIGAN
1022,Addison,"Fragomen, Del Rey, Bernsen & Loewy, Llp",TEXAS
1023,Ann Arbor,"Law Office Of Soo Park, Plc",MICHIGAN
1024,Farmington Hills,"Law Offices Of Amarnath Gowda, Ll.B., J.D.",MICHIGAN
1025,Austin,Boulette Golden & Marin L.L.P.,TEXAS
1026,Addison,"Fragomen, Del Rey, Bernsen & Loewy, Llp.",TEXAS
1027,Piscataway,"Rubin, Kaplan & Associates",NEW JERSEY
1028,Tamuning,Dooley Roberts & Fowler Llp,GUAM
1029,Miami,"Casablanca Legal Group, Pl",FLORIDA
1030,Schaumburg,"Masuda, Funai, Eifert & Mitchell, Ltd.",ILLINOIS
1031,Northhampton,Curran And Berger Llp,MASSACHUSETTS
1032,Troy,Piston & Carpenter P.C.,MICHIGAN
1033,Atlanta,"Zhang & Yan, P.C.",GEORGIA
1034,Richmond,Mccandlish Holton Pc,VIRGINIA
1035,Omaha,"Jackson Lewis, Pc",NEBRASKA
1036,Clayton,"Paule, Camazine & Blumenthal, Pc",MISSOURI
1037,Santa Clara,"Fragomen, Del Rey, Bernsen & Loewy, Llp",CALIFORNIA
1038,Richardson,"Alan C. Chen, P.C.",TEXAS
