Education_id,foreign_worker_info_education,foreign_worker_info_education_other
100,Doctorate,
101,Bachelor'S,
102,Master'S,
103,Other,Two Years Of College-Level Education
104,Other,Dvm
105,Other,M.D. (Doctor Of Medicine)
106,Other,1 Year Of Academic Studies Toward A Bachelor Of Science Degree.
107,Other,Llm
108,Other,Doctor Of Chiropractic
109,Other,M.D.
110,Other,Medical Doctor
111,Other,First Professional Medical Degree
112,Other,Medical Degree
113,Other,Md Doctor Of Medicine
114,Other,Dds
115,Associate'S,
116,Other,Md
117,None,
118,Other,Professional Degree Equivalent
119,High School,
120,Other,Medical Degree (Mbbs)
121,Other,Bachelor Of Medicine Bachelor Of Surgery
122,Other,Bachelor'S Degree Equivalent
123,Other,Indian 3-Year Bachelor'S Degree.
124,Other,Medical Diploma
125,Other,Post Graduate Certificate
126,Other,Experiential Equivalent To A Bachelor'S Degree
127,Other,3 Yrs University Level Study + 2 Yrs Exp To Meet Bach Req (See H.14)
128,Other,Medical Degree (Md)
129,Other,Diploma In Environmental Pollution Control Technology(Equiv To U.S. Bach)
130,Other,Foreign Degree Equivalent Of A U.S. Doctor Of Medicine Degree
131,Other,3-Year Bachelor'S Degree
132,Other,Ll.M. (Master Of Laws)
133,Other,3 Year Bachelor'S Degree
134,Other,Mbbs (M.D. Equivalent)
135,Other,Doctor & Surgeon (M.D. Equivalent)
136,Other,Foreign Equivalent To Md Degree (W/Ecfmg Certification)
137,Other,3-Yr Post Secondary Education *See H.14
138,Other,Md Equivalent
139,Other,M.B.B.S.
140,Other,Md/Mbbs
141,Other,Bachelor Of Medicine & Bachelor Of Surgery (Md Equivalent)
142,Other,Dmd
143,Other,Three Yrs Toward A Bachelor'S Degree& 1 Year Experience (See H.14)
144,Other,Doctor Of Dental Medicine
145,Other,D.D.S. (Doctor Of Dental Surgery)
146,Other,Jd
147,Other,Physician And Surgeon Degree (Equivalent To A U.S. M.D. Degree)
148,Other,3 Years Foreign Bachelor'S Degree
149,Other,Mbbs
150,Other,Doctor Of Dental Surgery (Dds)
151,Other,Combination Education & Work Exp Are Equivalent To Bachelor'S
152,Other,Doctor Of Dental Surgery
153,Other,Doctor Of Veterinary Medicine
154,Other,Medicine (Equivalent To M.D.)
155,Other,Foreign Degree Equivalent To Md
156,Other,Medical Degree Or Foreign Equivalent
157,Other,General Certificate In Engineering
158,Other,3 Years Of Academic Study Toward Bachelor Of Science
159,Other,Degree In Osteopathic Medicine
160,Other,Doctor Of Dental Medicine (Dmd)
161,Other,First Professional Degree/ Md/ Ecfmg Equivalent
162,Other,M.D. Degree Or Foreign Degree Equivalent
163,Other,M.B.B.S. (Foreign Equivalent Of M.D.)
164,Other,Master Of Laws (Ll.M.)
165,Other,Three (3) Years Of Academic Studies Toward A Bachelor Of Science
166,Other,Three Years Of College Level Study
167,Other,Post-Secondary Diploma Of Legal Assistant Program
168,Other,Bachelor Of Medicine Bachelor Of Surgery (Mbbs)
169,Other,Associate Degree And 2 Years Related Professional Exp (See H.14)
170,Other,Foreign Equivalent Of Dvm
171,Other,Certificate
172,Other,Diploma
173,Other,Juris Doctor
174,Other,Juris Doctor (J.D.)
175,Other,Doctor Of Medicine And Master Of Surgery
176,Other,Bachelor Of Medicine And Bachelor Of Surgery (Mbbs)
177,Other,Us Bachelor'S Equiv Based On Combo Of Ed/Exp As Determined By Qual Eval
178,Other,Doctor Of Medicine (M.D.)
179,Other,Bachelor Of Medicine And Bachelor Of Surgery - Mbbs (Equivalent To U.S. Medical Degree)
180,Other,Three Year Diploma
181,Other,M.B. B.S.
182,Other,Medical Degree (Foreign Equivalent)
183,Other,J.D.
184,Other,Doctor Of Medicine
185,Other,Post Doctorate
186,Other,3 Yrs Academic Study Towards Bachelor'S In Mech Eng And More Than 6 Years Of Related Experience
187,Other,Medical Doctor (Foreign Equivalent)
188,Other,Completed 4 1/2 Yrs Of University Study In Metallurgical & Chemical Engineering
189,Other,D.D.S.
190,Other,Bach. Deg. Equivalency Eval. Based On Academic Studies And Work Exper
191,Other,Doctor Of Pharmacy (Pharmd)
192,Other,M.D. Degree
193,Other,3 Yrs Of Academic Studies Toward A B.A In Visual Communications
194,Other,Medical Doctor Degree
195,Other,Three Years Of Academic Studies
196,Other,3 Yrs Towards Bachelor'S & 1 Yr Rel Exp. (See H.14)
197,Other,"Bachelor'S Equiv. Based On Combination Of Education, Training And/Or Experience."
198,Other,Mbbs (Bachelor Of Medicine And Bachelor Of Surgery Degree -- Equivalent To M.D.
199,Other,"Diploma Of Technology (See Section K, Job 8 For Explanation Of Equivalency To Bachelor Degree)"
200,Other,More Than 15 Years Of Work Experience Equivalent Of A Bachelor'S Degree In Business Administration
201,Other,M.D. (Foreign Equivalent)
202,Other,First Professional Degree (Mbbs)
203,Other,Doctor Of Pharmacy
204,Other,"The Equivalent Of A Bachelor'S Degree In Education & Experience (See Jobs 5, 6, 7, 8)"
205,Other,Master Of Laws (Llm)
206,Other,Three Years Of Academic Studies Toward A B.A. Degree
207,Other,Medical Degree (M.D.)
208,Other,Master'S Degree In Ot Equivalent (Bachelor'S Degree In Ot Plus 5 Years Of Progressive Experience)
209,Other,4 Years Post-Secondary Education & Three Years Exp.
210,Other,3 Year Bachelor Of Computer Science + 3 Yrs Exp
211,Other,M.D. Or Foreign Equivalent
212,Other,Bachelor'S Equiv. To Mis (As Det. By Qual. Eval. Serv.)
213,Other,Bachelor Of Medicine And Bachelor Of Surgery
214,Other,"M.D. Equivalent - Bachelor Of Medicine, Bachelor Of Surgery (M.B.B.S.)"
215,Other,Over 9 Years Of Relevant Experience (See H.14)
216,Other,Equivalent To Bachelor'S Of Arts
217,Other,Three Year Bachelor'S Degree
218,Other,3-Yr Post Secondary Education *See H-14
219,Other,Professional Experience And Three-Year Degree
220,Other,Education + Experience Equivalent To A U.S. Bachelor'S Degree
221,Other,Foreign Degree Equivalent To A U.S. Doctor Of Medicine (M.D.) Degree
222,Other,Bachelor In Dental Medicine And Surgery
223,Other,Doctor Of Dental Medicine (D.M.D.)
224,Other,Equivalent To A Bachelor'S Degree In Education & Work Experience
225,Other,Three Years Of Undergraduate Study
226,Other,Training Masters Certificate
227,Other,Doctor Of Dental Surgery (D.D.S.)
228,Other,Education And Employment Experience Equivalent To U.S. Bachelor'S Degree
229,Other,Mbbs (Equiv. To M.D. In U.S.)
230,Other,Bachelor'S Equivalent Through Education & Work Experience
231,Other,Foreign Medical Degree Equivalent To A U.S. Doctor Of Medicine (Md) Degree
232,Other,Diploma Of Technology
233,Other,Bach. Equivalency Based On Combo. Of Degree&Professional Exp.
234,Other,Ll.M.
235,Other,Post Graduate Diploma In Business Administration
236,Other,Mbbs (Foreign Equivalent Of M.D.)
237,Other,Jd Degree
238,Other,3 Year Bachelor'S Degree Plus Additional Year Of College Level Coursework
239,Other,Three-Year Degree Bachelor Of Science
240,Other,Bachelorâ€™S Degree/Equivalent: One Year Of Directly Related Experience In Lieu Of One Year Of College
241,Other,M.D
242,Other,Bachelor Of Medicine & Bachelor Of Surgery (Equiv To U.S. M.D. Degree)
243,Other,Bachelor Of Science Educational Equivalency Evaluation
244,Other,Doctor
245,Other,"Accounting Certificate, See H.8-B"
246,Other,Approximately Two Years Of Academic Courses
247,Other,M.B.B.S. (Md)
248,Other,Professional Medical Degree
249,Other,Equivalent Of A Bachelor'S Degree Thru Education & Experience
250,Other,Medical Doctorate
251,Other,"Md/Do Or Equivalent, 1St Professional Degree"
252,Other,Combination Of Education & Experience As Determined To Be Equivalent To Us Bachelor Degree
253,Other,3 Yrs University Study
254,Other,Bachelor'S Degree (3 Year Program)
255,Other,Three-Years Of College-Level Academic Coursework
256,Other,Three Years Academic Study Towards Bachelor'S Degree
257,Other,Bachelor Equivalent Based On Combination Of Education Determined By Professional Evaluation Service
258,Other,3 Years Of Academic Studies Toward A Bachelor Of Business Administration
