Employer_id,employer_name,employer_address_1,employer_address_2,Geography_id,employer_num_employees,employer_phone,employer_phone_ext,employer_yr_estab
1001,Washington State University,International Programs - Global Services,"Bryan Hall 108, Washington State University, Po Box 645110",44611,5600,509-335-1348,,1890
1002,"Zoni Language Center, Inc",22 West 34Th Street,3Rd Floor,2341,175,212-736-4153,163,1993
1003,The University Of Oklahoma,Human Resources,"905 Asp Avenue, Nel Building, Room # 207",2382,12126,405-325-1826,,1890
1004,Interactive Data Corporation,32 Crosby Drive,,214,250,781 687 8800,8040,1992
1005,"E-Base Technologies, Inc",39159 Paseo Padre Pkwy,Suite 206,42325,52,5107902547,,2000
1006,Actimize Inc,1359 Broadway,5Th Floor,3921,235,212 851 8443,,2001
1007,The University Of Oklahoma,Human Resources,"905 Asp Avenue, Nel Building, Room # 207",2382,12266,405-325-1826,,1890
1008,"Kroll Bond Rating Agency, Inc.",845 Third Avenue,4Th Floor,3936,102,212-702-0707,,1984
1009,"Mcs Global, Inc.",317 George Street,Suite # 205,2321,36,(703) 707-9771,,2001
1010,"Invagen Pharmaceuticals, Inc",7 Oser Avenue,,1384,377,631-231-3233,1700,2003
1011,"The Great Atlantic & Pacific Tea Company, Inc.","The Great Atlantic & Pacific Tea Company, Inc.",2 Paragon Drive,2204,31289,(201) 571-4000,,1859
1012,Cch Incorporated,2700 Lake Cook Road,,27823,1693,847-267-7000,,1988
1013,"Xavient Information Systems, Inc",2125 B Madera Rd,,41709,172,805-955-4111,,2002
1014,"Infoville, Inc.",2162 Route 206 2Nd Floor,,227,24,732-331-5282,,2004
1015,"Nuveen Investments Holdings, Inc.",333 W. Wacker Dr.,,28240,1000,312-917-7700,,1898
1016,Weiss Asset Management Lp,"222 Berkeley Street, 16Th Floor",,9405,36,617-778-7780,,2002
1017,"Trinuc, Llc","1540 E. Dundee Rd.,",Suite# 110,27895,120,224-577-8746,,2001
1018,Wet,10847 Sherman Way,,40947,250,818-769-6200,,1985
1019,Auburn University,228 Foy Hall,,17004,10000,334-844-5023,,1856
1020,Rich Products Corporation,One Robert Rich Way,1150 Niagara Street,5930,7000,7168788890,,1945
1021,Ch2M Hill Engineers Inc.,9127 South Jamaica Street,,37496,30000,888-242-6445,,2003
1022,"Eloyalty, Llc",9197 S. Peoria St.,,37496,45300,3033978548,,2011
1023,"Cgn & Associates, Inc.",415 Sw Washington Street,,28780,85,(309) 672-6400,2434,1995
1024,"At&T, Inc., And All Of Its Subsidiaries And Affiliates",One At&T Plaza,208 S. Akard Street,34864,266590,800-403-3302,,1897
1025,Kerr Corporation,28200 Wick Rd.,,22277,1058,714-516-7400,,1987
1026,Imetris Corporation,162 S. Industrial Dr.,,2974,89,734-470-6819,2310,1997
1027,University Of Wisconsin-Madison,"21 North Park Street, Suite 5101",,24854,16000,608-265-2257,,1849
1028,"Global Information Systems, Inc.",29777 Telegraph Road,Suite 2450,22147,46,(248) 223-9800,205,1996
1029,"Cirrus Logic, Inc.",800 West 6Th Street,,36874,660,512-851-4055,,1984
