zip_id,zip,city,state
1,30095,Duluth,Georgia
2,1798,A Asco,Pr
3,54405,Abbotsford,Unkown
4,21001,Aberdeen,Maryland
5,21001,Aberdeen,New Jersey
6,57401,Aberdeen,South Dakota
7,79601,Abilene,Texas
8,21009,Abingdon,Maryland
9,2351,Abington,Massachusetts
10,1798,Abomgdpm,Maryland
11,1720,Acton,Massachusetts
12,30101,Acworth,Georgia
13,74820,Ada,Oklahoma
14,50002,Adair,Iowa
15,60101,Addison,Illinois
16,75001,Addison,Texas
17,43101,Adelphi,Maryland
18,1001,Agawam,Massachusetts
19,91301,Agoura Hills,California
20,29801,Aiken,South Carolina
21,69210,Ainsworth,Nebraska
22,1798,Airmont,New York
23,85321,Ajo,Arizona
24,44301,Akron,Ohio
25,35007,Alabaster,Alabama
26,94501,Alameda,California
27,94507,Alamo,California
28,81101,Alamosa,Colorado
29,94706,Albany,California
30,31701,Albany,Georgia
31,12201,Albany,New York
32,56007,Albert Lea,Minnesota
33,11507,Albertson,New York
34,87101,Albuquerque,New Mexico
35,1798,Aldan,Pennsylvania
36,20105,Aldie,Virginia
37,41001,Alexandria,Kentucky
38,71301,Alexandria,Louisiana
39,22301,Alexandria,Virginia
40,60102,Algonquin,Illinois
41,91801,Alhambra,California
42,1798,Alington Heights,Illinois
43,92656,Aliso Viejo,California
44,49010,Allegan,Michigan
45,14706,Allegany,New York
46,75002,Allen,Texas
47,48101,Allen Park,Michigan
48,7401,Allendale,New Jersey
49,29810,Allendale,South Carolina
50,18101,Allentown,Pennsylvania
51,15101,Allison Park,Pennsylvania
52,2134,Allston,Massachusetts
53,1798,Alphareeta,Georgia
54,1798,Alphareta,Georgia
55,30004,Alpharetta,Georgia
56,91001,Altadena,California
57,12009,Altamont,New York
58,1798,Altamonte Spring,Florida
59,32701,Altamonte Springs,Florida
60,95002,Alviso,California
61,79101,Amarillo,Texas
62,10501,Amawalk,New York
63,19002,Ambler,Pennsylvania
64,94503,American Canyon,California
65,31709,Americus,Georgia
66,50010,Ames,Iowa
67,1002,Amherst,Massachusetts
68,3031,Amherst,New York
69,11701,Amityville,New York
70,1798,Ammon,Idaho
71,38821,Amory,Mississippi
72,92801,Anaheim,California
73,1798,Anaheim Hills,California
74,99501,Anchorage,Alaska
75,46011,Anderson,Indiana
76,29621,Anderson,South Carolina
77,67002,Andover,Kansas
78,1810,Andover,Massachusetts
79,50021,Ankeny,Iowa
